[2026-08-12 09:20:38.42] Compiling `test/security/EchidnaMarketAccounting.sol`... Done! (7.000445s)
Analyzing contract: /private/var/folders/gc/k2l60lnx7d59j65323br2fr40000gn/T/cpredict-echidna.ahrT8W/repo/test/security/EchidnaMarketAccounting.sol:EchidnaMarketAccounting
[2026-08-12 09:20:45.57] Running slither on `test/security/EchidnaMarketAccounting.sol`... WARNING: Running slither failed. Echidna will continue, however fuzzing will likely be less effective.

Done! (1.772127s)
Loaded 0 transaction sequences from reports/security/echidna-corpus/reproducers
Loaded 0 transaction sequences from reports/security/echidna-corpus/coverage
[2026-08-12 09:20:47.51] [Worker 0] New coverage: 19939 instr, 23 contracts, 1 seqs in corpus
[2026-08-12 09:20:47.52]  Saved reproducer to reports/security/echidna-corpus/coverage/2078927052962597724.txt
[2026-08-12 09:20:49.79] [Worker 0] New coverage: 19942 instr, 23 contracts, 2 seqs in corpus
[2026-08-12 09:20:49.79]  Saved reproducer to reports/security/echidna-corpus/coverage/141526056126398154.txt
[2026-08-12 09:20:50.40] [status] tests: 0/4, fuzzing: 2708/1000000, values: [], cov: 19942, corpus: 2, gas/s: 76623433
[2026-08-12 09:21:53.44] [status] tests: 0/4, fuzzing: 57523/1000000, values: [], cov: 19946, corpus: 3, gas/s: 80236464
[2026-08-12 09:21:56.44] [status] tests: 0/4, fuzzing: 60228/1000000, values: [], cov: 19946, corpus: 3, gas/s: 73868774
[2026-08-12 09:21:59.44] [status] tests: 0/4, fuzzing: 62883/1000000, values: [], cov: 19946, corpus: 3, gas/s: 74177638
[2026-08-12 09:22:02.45] [status] tests: 0/4, fuzzing: 65585/1000000, values: [], cov: 19946, corpus: 3, gas/s: 75915457
[2026-08-12 09:22:05.45] [status] tests: 0/4, fuzzing: 68402/1000000, values: [], cov: 19946, corpus: 3, gas/s: 78320800
[2026-08-12 09:22:08.45] [status] tests: 0/4, fuzzing: 70853/1000000, values: [], cov: 19946, corpus: 3, gas/s: 69640865
[2026-08-12 09:22:11.45] [status] tests: 0/4, fuzzing: 73691/1000000, values: [], cov: 19946, corpus: 3, gas/s: 80345635
[2026-08-12 09:22:14.46] [status] tests: 0/4, fuzzing: 76387/1000000, values: [], cov: 19946, corpus: 3, gas/s: 75588532
[2026-08-12 09:22:17.52] [status] tests: 0/4, fuzzing: 78431/1000000, values: [], cov: 19946, corpus: 3, gas/s: 58630785
[2026-08-12 09:22:20.53] [status] tests: 0/4, fuzzing: 80753/1000000, values: [], cov: 19946, corpus: 3, gas/s: 63637104
[2026-08-12 09:22:23.53] [status] tests: 0/4, fuzzing: 83567/1000000, values: [], cov: 19946, corpus: 3, gas/s: 78741783
[2026-08-12 09:22:26.53] [status] tests: 0/4, fuzzing: 86237/1000000, values: [], cov: 19946, corpus: 3, gas/s: 74883947
[2026-08-12 09:22:29.53] [status] tests: 0/4, fuzzing: 88998/1000000, values: [], cov: 19946, corpus: 3, gas/s: 76959288
[2026-08-12 09:22:32.54] [status] tests: 0/4, fuzzing: 91378/1000000, values: [], cov: 19946, corpus: 3, gas/s: 67512730
[2026-08-12 09:22:35.54] [status] tests: 0/4, fuzzing: 93891/1000000, values: [], cov: 19946, corpus: 3, gas/s: 69594833
[2026-08-12 09:22:38.54] [status] tests: 0/4, fuzzing: 96094/1000000, values: [], cov: 19946, corpus: 3, gas/s: 62739693
[2026-08-12 09:22:41.54] [status] tests: 0/4, fuzzing: 98889/1000000, values: [], cov: 19946, corpus: 3, gas/s: 79187141
[2026-08-12 09:22:44.54] [status] tests: 0/4, fuzzing: 101211/1000000, values: [], cov: 19946, corpus: 3, gas/s: 65108292
[2026-08-12 09:22:47.55] [status] tests: 0/4, fuzzing: 104049/1000000, values: [], cov: 19946, corpus: 3, gas/s: 79325705
[2026-08-12 09:22:50.55] [status] tests: 0/4, fuzzing: 106663/1000000, values: [], cov: 19946, corpus: 3, gas/s: 73164861
[2026-08-12 09:22:53.55] [status] tests: 0/4, fuzzing: 109422/1000000, values: [], cov: 19946, corpus: 3, gas/s: 77385841
[2026-08-12 09:22:55.11] [Worker 0] New coverage: 20071 instr, 23 contracts, 4 seqs in corpus
[2026-08-12 09:22:55.12]  Saved reproducer to reports/security/echidna-corpus/coverage/7631303134112144751.txt
[2026-08-12 09:22:55.97] [Worker 0] New coverage: 20104 instr, 23 contracts, 5 seqs in corpus
[2026-08-12 09:22:55.97]  Saved reproducer to reports/security/echidna-corpus/coverage/2827232263659393625.txt
[2026-08-12 09:22:56.55] [status] tests: 0/4, fuzzing: 112192/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73305798
[2026-08-12 09:22:59.55] [status] tests: 0/4, fuzzing: 114945/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74461565
[2026-08-12 09:23:02.55] [status] tests: 0/4, fuzzing: 116756/1000000, values: [], cov: 20104, corpus: 5, gas/s: 47632063
[2026-08-12 09:23:05.56] [status] tests: 0/4, fuzzing: 118518/1000000, values: [], cov: 20104, corpus: 5, gas/s: 46342280
[2026-08-12 09:23:08.56] [status] tests: 0/4, fuzzing: 120801/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61085937
[2026-08-12 09:23:11.56] [status] tests: 0/4, fuzzing: 123388/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68277037
[2026-08-12 09:23:14.56] [status] tests: 0/4, fuzzing: 125566/1000000, values: [], cov: 20104, corpus: 5, gas/s: 57615889
[2026-08-12 09:23:17.57] [status] tests: 0/4, fuzzing: 127759/1000000, values: [], cov: 20104, corpus: 5, gas/s: 57347759
[2026-08-12 09:23:20.57] [status] tests: 0/4, fuzzing: 128908/1000000, values: [], cov: 20104, corpus: 5, gas/s: 30779433
[2026-08-12 09:23:23.57] [status] tests: 0/4, fuzzing: 131578/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70233626
[2026-08-12 09:23:26.57] [status] tests: 0/4, fuzzing: 134292/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75107777
[2026-08-12 09:23:29.57] [status] tests: 0/4, fuzzing: 136761/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66655163
[2026-08-12 09:23:32.57] [status] tests: 0/4, fuzzing: 138965/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61427699
[2026-08-12 09:23:35.58] [status] tests: 0/4, fuzzing: 141158/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59963357
[2026-08-12 09:23:38.58] [status] tests: 0/4, fuzzing: 143441/1000000, values: [], cov: 20104, corpus: 5, gas/s: 62298118
[2026-08-12 09:23:41.58] [status] tests: 0/4, fuzzing: 145623/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59066243
[2026-08-12 09:23:44.58] [status] tests: 0/4, fuzzing: 147118/1000000, values: [], cov: 20104, corpus: 5, gas/s: 40357309
[2026-08-12 09:23:47.58] [status] tests: 0/4, fuzzing: 148779/1000000, values: [], cov: 20104, corpus: 5, gas/s: 45309188
[2026-08-12 09:23:50.59] [status] tests: 0/4, fuzzing: 150437/1000000, values: [], cov: 20104, corpus: 5, gas/s: 44761079
[2026-08-12 09:23:53.59] [status] tests: 0/4, fuzzing: 152492/1000000, values: [], cov: 20104, corpus: 5, gas/s: 55853232
[2026-08-12 09:23:56.59] [status] tests: 0/4, fuzzing: 154534/1000000, values: [], cov: 20104, corpus: 5, gas/s: 53746851
[2026-08-12 09:23:59.59] [status] tests: 0/4, fuzzing: 156807/1000000, values: [], cov: 20104, corpus: 5, gas/s: 62308746
[2026-08-12 09:24:02.59] [status] tests: 0/4, fuzzing: 158755/1000000, values: [], cov: 20104, corpus: 5, gas/s: 51274728
[2026-08-12 09:24:05.60] [status] tests: 0/4, fuzzing: 160808/1000000, values: [], cov: 20104, corpus: 5, gas/s: 54562433
[2026-08-12 09:24:08.60] [status] tests: 0/4, fuzzing: 162485/1000000, values: [], cov: 20104, corpus: 5, gas/s: 46458249
[2026-08-12 09:24:11.60] [status] tests: 0/4, fuzzing: 164963/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65456537
[2026-08-12 09:24:14.60] [status] tests: 0/4, fuzzing: 167598/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70225371
[2026-08-12 09:24:17.61] [status] tests: 0/4, fuzzing: 169992/1000000, values: [], cov: 20104, corpus: 5, gas/s: 64217941
[2026-08-12 09:24:20.61] [status] tests: 0/4, fuzzing: 172625/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71001894
[2026-08-12 09:24:23.61] [status] tests: 0/4, fuzzing: 175463/1000000, values: [], cov: 20104, corpus: 5, gas/s: 76314938
[2026-08-12 09:24:26.61] [status] tests: 0/4, fuzzing: 178343/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74593359
[2026-08-12 09:24:29.61] [status] tests: 0/4, fuzzing: 181062/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74845414
[2026-08-12 09:24:32.61] [status] tests: 0/4, fuzzing: 183511/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63692372
[2026-08-12 09:24:35.61] [status] tests: 0/4, fuzzing: 185797/1000000, values: [], cov: 20104, corpus: 5, gas/s: 60345941
[2026-08-12 09:24:38.62] [status] tests: 0/4, fuzzing: 188506/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73433173
[2026-08-12 09:24:41.62] [status] tests: 0/4, fuzzing: 191205/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72008017
[2026-08-12 09:24:44.62] [status] tests: 0/4, fuzzing: 193959/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75048949
[2026-08-12 09:24:47.68] [status] tests: 0/4, fuzzing: 196349/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61739417
[2026-08-12 09:24:50.68] [status] tests: 0/4, fuzzing: 199082/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73426275
[2026-08-12 09:24:53.68] [status] tests: 0/4, fuzzing: 201791/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70310120
[2026-08-12 09:24:56.68] [status] tests: 0/4, fuzzing: 204612/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73238153
[2026-08-12 09:24:59.68] [status] tests: 0/4, fuzzing: 207380/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73954714
[2026-08-12 09:25:02.69] [status] tests: 0/4, fuzzing: 209863/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66458040
[2026-08-12 09:25:05.69] [status] tests: 0/4, fuzzing: 212681/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74388210
[2026-08-12 09:25:08.69] [status] tests: 0/4, fuzzing: 215562/1000000, values: [], cov: 20104, corpus: 5, gas/s: 77333878
[2026-08-12 09:25:11.69] [status] tests: 0/4, fuzzing: 218013/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66713718
[2026-08-12 09:25:14.70] [status] tests: 0/4, fuzzing: 220583/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68117094
[2026-08-12 09:25:17.71] [status] tests: 0/4, fuzzing: 223366/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72135802
[2026-08-12 09:25:20.71] [status] tests: 0/4, fuzzing: 226017/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70796576
[2026-08-12 09:25:23.71] [status] tests: 0/4, fuzzing: 228734/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75441137
[2026-08-12 09:25:26.71] [status] tests: 0/4, fuzzing: 231587/1000000, values: [], cov: 20104, corpus: 5, gas/s: 79229768
[2026-08-12 09:25:29.71] [status] tests: 0/4, fuzzing: 234432/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74397372
[2026-08-12 09:25:32.71] [status] tests: 0/4, fuzzing: 237141/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72485236
[2026-08-12 09:25:35.71] [status] tests: 0/4, fuzzing: 239736/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68432476
[2026-08-12 09:25:38.72] [status] tests: 0/4, fuzzing: 242165/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65297270
[2026-08-12 09:25:41.72] [status] tests: 0/4, fuzzing: 244570/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63966914
[2026-08-12 09:25:44.72] [status] tests: 0/4, fuzzing: 246939/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63057483
[2026-08-12 09:25:47.72] [status] tests: 0/4, fuzzing: 249900/1000000, values: [], cov: 20104, corpus: 5, gas/s: 79426408
[2026-08-12 09:25:50.72] [status] tests: 0/4, fuzzing: 252747/1000000, values: [], cov: 20104, corpus: 5, gas/s: 77450935
[2026-08-12 09:25:53.72] [status] tests: 0/4, fuzzing: 255400/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71264509
[2026-08-12 09:25:56.72] [status] tests: 0/4, fuzzing: 257879/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65769004
[2026-08-12 09:25:59.73] [status] tests: 0/4, fuzzing: 260297/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65224079
[2026-08-12 09:26:02.73] [status] tests: 0/4, fuzzing: 262584/1000000, values: [], cov: 20104, corpus: 5, gas/s: 60133032
[2026-08-12 09:26:05.73] [status] tests: 0/4, fuzzing: 265259/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71690218
[2026-08-12 09:26:08.73] [status] tests: 0/4, fuzzing: 267908/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71971305
[2026-08-12 09:26:11.73] [status] tests: 0/4, fuzzing: 270746/1000000, values: [], cov: 20104, corpus: 5, gas/s: 76770340
[2026-08-12 09:26:14.73] [status] tests: 0/4, fuzzing: 273500/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72529774
[2026-08-12 09:26:17.74] [status] tests: 0/4, fuzzing: 275960/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66294101
[2026-08-12 09:26:20.74] [status] tests: 0/4, fuzzing: 278203/1000000, values: [], cov: 20104, corpus: 5, gas/s: 60871059
[2026-08-12 09:26:23.74] [status] tests: 0/4, fuzzing: 281077/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75294742
[2026-08-12 09:26:26.74] [status] tests: 0/4, fuzzing: 283839/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74247343
[2026-08-12 09:26:29.74] [status] tests: 0/4, fuzzing: 286738/1000000, values: [], cov: 20104, corpus: 5, gas/s: 77382322
[2026-08-12 09:26:32.74] [status] tests: 0/4, fuzzing: 289336/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70209304
[2026-08-12 09:26:35.74] [status] tests: 0/4, fuzzing: 291852/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67760577
[2026-08-12 09:26:38.75] [status] tests: 0/4, fuzzing: 294703/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75675336
[2026-08-12 09:26:41.75] [status] tests: 0/4, fuzzing: 297569/1000000, values: [], cov: 20104, corpus: 5, gas/s: 76649674
[2026-08-12 09:26:44.75] [status] tests: 0/4, fuzzing: 300213/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70394276
[2026-08-12 09:26:47.75] [status] tests: 0/4, fuzzing: 302933/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74384357
[2026-08-12 09:26:50.75] [status] tests: 0/4, fuzzing: 305700/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75849471
[2026-08-12 09:26:53.76] [status] tests: 0/4, fuzzing: 307996/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61223708
[2026-08-12 09:26:56.76] [status] tests: 0/4, fuzzing: 310500/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67846909
[2026-08-12 09:26:59.77] [status] tests: 0/4, fuzzing: 313266/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73526150
[2026-08-12 09:27:02.77] [status] tests: 0/4, fuzzing: 315873/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68265765
[2026-08-12 09:27:05.77] [status] tests: 0/4, fuzzing: 318513/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72967484
[2026-08-12 09:27:08.77] [status] tests: 0/4, fuzzing: 321469/1000000, values: [], cov: 20104, corpus: 5, gas/s: 79702247
[2026-08-12 09:27:11.77] [status] tests: 0/4, fuzzing: 324432/1000000, values: [], cov: 20104, corpus: 5, gas/s: 81992933
[2026-08-12 09:27:14.77] [status] tests: 0/4, fuzzing: 326983/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65180187
[2026-08-12 09:27:17.78] [status] tests: 0/4, fuzzing: 329161/1000000, values: [], cov: 20104, corpus: 5, gas/s: 56970010
[2026-08-12 09:27:20.78] [status] tests: 0/4, fuzzing: 329536/1000000, values: [], cov: 20104, corpus: 5, gas/s: 9966753
[2026-08-12 09:27:23.78] [status] tests: 0/4, fuzzing: 331854/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61415360
[2026-08-12 09:27:26.79] [status] tests: 0/4, fuzzing: 334490/1000000, values: [], cov: 20104, corpus: 5, gas/s: 69805141
[2026-08-12 09:27:29.79] [status] tests: 0/4, fuzzing: 337324/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75425898
[2026-08-12 09:27:32.79] [status] tests: 0/4, fuzzing: 340033/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71613174
[2026-08-12 09:27:35.79] [status] tests: 0/4, fuzzing: 342747/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72352283
[2026-08-12 09:27:38.79] [status] tests: 0/4, fuzzing: 345483/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71639500
[2026-08-12 09:27:41.80] [status] tests: 0/4, fuzzing: 347988/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68993249
[2026-08-12 09:27:44.80] [status] tests: 0/4, fuzzing: 350563/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68194091
[2026-08-12 09:27:47.80] [status] tests: 0/4, fuzzing: 352844/1000000, values: [], cov: 20104, corpus: 5, gas/s: 59343604
[2026-08-12 09:27:50.80] [status] tests: 0/4, fuzzing: 355295/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65848342
[2026-08-12 09:27:53.81] [status] tests: 0/4, fuzzing: 358068/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75017548
[2026-08-12 09:27:56.81] [status] tests: 0/4, fuzzing: 360791/1000000, values: [], cov: 20104, corpus: 5, gas/s: 70021151
[2026-08-12 09:27:59.81] [status] tests: 0/4, fuzzing: 362855/1000000, values: [], cov: 20104, corpus: 5, gas/s: 54759379
[2026-08-12 09:28:02.81] [status] tests: 0/4, fuzzing: 365175/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63766877
[2026-08-12 09:28:05.81] [status] tests: 0/4, fuzzing: 367833/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73331449
[2026-08-12 09:28:08.82] [status] tests: 0/4, fuzzing: 370532/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72182820
[2026-08-12 09:28:11.82] [status] tests: 0/4, fuzzing: 372608/1000000, values: [], cov: 20104, corpus: 5, gas/s: 55963165
[2026-08-12 09:28:14.82] [status] tests: 0/4, fuzzing: 375188/1000000, values: [], cov: 20104, corpus: 5, gas/s: 71285025
[2026-08-12 09:28:17.82] [status] tests: 0/4, fuzzing: 377966/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74918403
[2026-08-12 09:28:20.83] [status] tests: 0/4, fuzzing: 380272/1000000, values: [], cov: 20104, corpus: 5, gas/s: 62285481
[2026-08-12 09:28:23.83] [status] tests: 0/4, fuzzing: 383110/1000000, values: [], cov: 20104, corpus: 5, gas/s: 77956421
[2026-08-12 09:28:26.83] [status] tests: 0/4, fuzzing: 386030/1000000, values: [], cov: 20104, corpus: 5, gas/s: 80648588
[2026-08-12 09:28:29.83] [status] tests: 0/4, fuzzing: 388517/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66596305
[2026-08-12 09:28:32.83] [status] tests: 0/4, fuzzing: 391081/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68831001
[2026-08-12 09:28:35.83] [status] tests: 0/4, fuzzing: 393347/1000000, values: [], cov: 20104, corpus: 5, gas/s: 61706873
[2026-08-12 09:28:38.84] [status] tests: 0/4, fuzzing: 395048/1000000, values: [], cov: 20104, corpus: 5, gas/s: 44702956
[2026-08-12 09:28:41.84] [status] tests: 0/4, fuzzing: 397876/1000000, values: [], cov: 20104, corpus: 5, gas/s: 76540189
[2026-08-12 09:28:44.84] [status] tests: 0/4, fuzzing: 400646/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72899379
[2026-08-12 09:28:47.84] [status] tests: 0/4, fuzzing: 401945/1000000, values: [], cov: 20104, corpus: 5, gas/s: 35087740
[2026-08-12 09:28:50.85] [status] tests: 0/4, fuzzing: 402848/1000000, values: [], cov: 20104, corpus: 5, gas/s: 25117864
[2026-08-12 09:28:53.85] [status] tests: 0/4, fuzzing: 405377/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65839777
[2026-08-12 09:28:56.86] [status] tests: 0/4, fuzzing: 408107/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73531997
[2026-08-12 09:28:59.86] [status] tests: 0/4, fuzzing: 410951/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75868323
[2026-08-12 09:29:02.86] [status] tests: 0/4, fuzzing: 413156/1000000, values: [], cov: 20104, corpus: 5, gas/s: 58144746
[2026-08-12 09:29:05.86] [status] tests: 0/4, fuzzing: 415478/1000000, values: [], cov: 20104, corpus: 5, gas/s: 63183223
[2026-08-12 09:29:08.87] [status] tests: 0/4, fuzzing: 418424/1000000, values: [], cov: 20104, corpus: 5, gas/s: 79557439
[2026-08-12 09:29:11.87] [status] tests: 0/4, fuzzing: 421100/1000000, values: [], cov: 20104, corpus: 5, gas/s: 73635115
[2026-08-12 09:29:14.87] [status] tests: 0/4, fuzzing: 423749/1000000, values: [], cov: 20104, corpus: 5, gas/s: 68601613
[2026-08-12 09:29:17.87] [status] tests: 0/4, fuzzing: 425930/1000000, values: [], cov: 20104, corpus: 5, gas/s: 58092473
[2026-08-12 09:29:20.87] [status] tests: 0/4, fuzzing: 428452/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67531617
[2026-08-12 09:29:23.87] [status] tests: 0/4, fuzzing: 431409/1000000, values: [], cov: 20104, corpus: 5, gas/s: 79388682
[2026-08-12 09:29:26.88] [status] tests: 0/4, fuzzing: 433818/1000000, values: [], cov: 20104, corpus: 5, gas/s: 65068073
[2026-08-12 09:29:29.88] [status] tests: 0/4, fuzzing: 436435/1000000, values: [], cov: 20104, corpus: 5, gas/s: 72056701
[2026-08-12 09:29:32.88] [status] tests: 0/4, fuzzing: 439184/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75271389
[2026-08-12 09:29:35.88] [status] tests: 0/4, fuzzing: 441698/1000000, values: [], cov: 20104, corpus: 5, gas/s: 66882755
[2026-08-12 09:29:38.88] [status] tests: 0/4, fuzzing: 444445/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75247925
[2026-08-12 09:29:41.88] [status] tests: 0/4, fuzzing: 447283/1000000, values: [], cov: 20104, corpus: 5, gas/s: 75172414
[2026-08-12 09:29:44.89] [status] tests: 0/4, fuzzing: 449683/1000000, values: [], cov: 20104, corpus: 5, gas/s: 67008568
[2026-08-12 09:29:47.89] [status] tests: 0/4, fuzzing: 452495/1000000, values: [], cov: 20104, corpus: 5, gas/s: 77799924
[2026-08-12 09:29:50.89] [status] tests: 0/4, fuzzing: 455232/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74006681
[2026-08-12 09:29:53.89] [status] tests: 0/4, fuzzing: 458097/1000000, values: [], cov: 20104, corpus: 5, gas/s: 74698029
